,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
10,s20,75,22017.398587203472,"(26.311, 26.311, 26.311, 23.889)","(25.445, 25.445, 25.445, 25.445)","(36.0, 36.0, 36.0, 36.0)","(36.0, 36.0, 36.0, 34.0)","(39.532, 39.532, 39.532, 39.532)","(50.481, 50.481, 50.481, 50.481)","(21.3, 21.3, 21.3, 10.734)","(29.57, 29.57, 29.57, 20.268)","(27.51, 27.51, 27.51, 21.046)","(27.055, 27.055, 27.01, 10.281)"
11,s20w90_75_25,75,20749.073818597743,"(27.025, 27.025, 27.025, 22.748)","(22.906, 22.906, 22.031, 22.008)","(32.829, 32.829, 32.112, 31.855)","(32.95, 32.95, 31.997, 31.874)","(38.818, 38.818, 38.361, 37.431)","(49.388, 49.388, 49.388, 49.388)","(22.218, 22.218, 22.218, 10.208)","(29.755, 29.755, 29.755, 19.989)","(28.004, 28.004, 28.004, 21.643)","(27.357, 27.357, 27.357, 10.319)"
12,s20w90_50_50,75,20227.800469222424,"(27.794, 27.794, 27.794, 22.47)","(23.0, 23.0, 23.0, 20.0)","(29.0, 29.0, 29.0, 29.0)","(33.0, 33.0, 33.0, 30.0)","(39.0, 39.0, 37.0, 37.0)","(48.615, 48.615, 48.615, 48.615)","(23.701, 23.701, 23.701, 9.627)","(29.931, 29.931, 29.931, 20.45)","(29.084, 29.084, 29.084, 21.356)","(27.66, 27.66, 27.66, 10.415)"
13,s20w90_25_75,75,20192.431580018674,"(28.553, 28.553, 28.553, 22.589)","(19.0, 19.0, 19.0, 19.0)","(28.183, 28.183, 28.183, 28.183)","(33.0, 33.0, 31.0, 30.0)","(38.92, 38.92, 36.993, 36.55)","(48.614, 48.614, 48.614, 48.614)","(25.674, 25.674, 25.674, 9.509)","(30.12, 30.12, 30.12, 11.96)","(30.162, 30.162, 30.162, 21.118)","(27.975, 27.975, 27.975, 10.707)"
14,w90,75,20960.91242282116,"(29.303, 29.303, 29.303, 29.257)","(18.838, 18.838, 17.897, 17.628)","(28.882, 28.882, 28.043, 27.608)","(30.0, 30.0, 30.0, 30.0)","(38.694, 38.694, 36.999, 36.23)","(48.609, 48.609, 48.609, 48.609)","(28.314, 28.314, 28.314, 9.559)","(30.301, 30.301, 30.301, 11.6)","(31.273, 31.273, 31.273, 20.82)","(28.286, 28.286, 28.286, 10.483)"
15,s20,100,19153.354129708445,"(22.506, 22.506, 22.506, 16.99)","(18.957, 18.957, 18.918, 18.9)","(29.632, 29.632, 29.632, 29.632)","(28.891, 28.891, 27.997, 27.84)","(36.0, 36.0, 34.0, 34.0)","(40.48, 40.48, 40.48, 40.48)","(14.873, 14.873, 14.873, 6.472)","(21.396, 21.396, 21.396, 8.93)","(23.076, 23.076, 23.076, 23.076)","(19.699, 19.699, 19.699, 7.493)"
16,s20w90_75_25,100,17730.869089505202,"(23.211, 23.211, 23.211, 14.926)","(15.319, 15.319, 15.319, 15.319)","(25.69, 25.69, 25.69, 25.69)","(25.495, 25.495, 25.495, 25.495)","(32.956, 32.956, 32.051, 31.871)","(38.814, 38.814, 38.814, 38.814)","(16.219, 16.219, 16.219, 5.592)","(21.574, 21.574, 21.574, 8.528)","(23.641, 23.641, 23.641, 23.641)","(20.022, 20.022, 20.022, 7.552)"
17,s20w90_50_50,100,17169.801179766262,"(23.982, 23.982, 23.982, 14.484)","(16.051, 16.051, 14.112, 12.829)","(23.0, 23.0, 23.0, 22.0)","(25.916, 25.916, 25.916, 22.772)","(33.065, 33.065, 31.015, 30.786)","(38.299, 38.299, 38.299, 37.24)","(17.995, 17.995, 17.995, 4.815)","(22.894, 22.894, 22.894, 8.763)","(24.21, 24.21, 24.21, 24.21)","(20.332, 20.332, 20.332, 7.639)"
18,s20w90_25_75,100,17266.517937380373,"(24.832, 24.832, 24.832, 14.279)","(13.111, 13.111, 12.366, 11.409)","(22.984, 22.984, 22.085, 19.947)","(29.739, 29.739, 29.739, 21.375)","(32.862, 32.862, 31.241, 30.361)","(39.298, 39.298, 39.298, 36.286)","(19.86, 19.86, 19.86, 4.112)","(21.941, 21.941, 21.941, 13.475)","(24.834, 24.834, 24.834, 24.658)","(20.647, 20.647, 20.647, 7.713)"
19,w90,100,18032.926904462787,"(25.591, 25.591, 25.591, 13.238)","(12.839, 12.839, 12.839, 9.777)","(19.76, 19.76, 19.76, 19.758)","(30.025, 30.025, 30.025, 20.934)","(32.888, 32.888, 30.937, 30.002)","(40.3, 40.3, 40.3, 35.756)","(23.554, 23.554, 23.554, 3.888)","(25.897, 25.897, 25.891, 10.045)","(25.848, 25.848, 25.848, 25.081)","(20.976, 20.976, 20.976, 7.809)"
20,s20,125,16871.244534916914,"(19.08, 19.08, 19.08, 19.08)","(12.531, 12.531, 12.531, 12.515)","(25.934, 25.934, 24.05, 23.855)","(29.776, 29.776, 29.776, 20.768)","(28.676, 28.676, 28.676, 28.676)","(30.735, 30.735, 30.735, 30.735)","(9.753, 9.753, 9.753, 9.659)","(14.52, 14.52, 14.52, 14.52)","(21.119, 21.119, 21.119, 21.119)","(14.012, 14.012, 14.012, 5.228)"
21,s20w90_75_25,125,15286.916910596,"(19.819, 19.819, 19.819, 19.819)","(9.529, 9.529, 9.354, 8.995)","(19.95, 19.95, 19.937, 19.935)","(20.006, 20.006, 19.783, 19.726)","(28.773, 28.773, 27.073, 26.523)","(30.529, 30.529, 30.529, 28.885)","(11.006, 11.006, 11.006, 5.226)","(15.386, 15.386, 15.384, 13.473)","(21.652, 21.652, 21.652, 21.652)","(14.368, 14.368, 14.368, 5.289)"
22,s20w90_50_50,125,14660.214027283519,"(21.642, 21.642, 21.642, 8.489)","(9.041, 9.041, 9.041, 6.763)","(19.0, 19.0, 18.0, 16.0)","(19.82, 19.82, 19.814, 16.952)","(26.049, 26.049, 25.035, 24.904)","(31.403, 31.403, 31.403, 27.63)","(12.479, 12.479, 12.479, 5.11)","(18.27, 18.27, 18.27, 11.345)","(22.189, 22.189, 22.189, 22.189)","(14.728, 14.728, 14.728, 5.392)"
23,s20w90_25_75,125,14702.278458718994,"(21.302, 21.302, 21.302, 9.583)","(10.467, 10.467, 10.01, 3.508)","(17.044, 17.044, 17.044, 13.028)","(22.012, 22.012, 20.979, 14.65)","(25.8, 25.8, 25.026, 24.544)","(32.314, 32.314, 32.314, 28.014)","(15.776, 15.776, 15.776, 2.529)","(18.835, 18.835, 18.835, 13.994)","(22.775, 22.775, 22.775, 22.743)","(15.094, 15.094, 15.094, 5.414)"
24,w90,125,15559.812668740036,"(22.06, 22.06, 22.06, 8.586)","(12.011, 12.011, 12.011, 0.697)","(19.017, 19.017, 19.017, 10.861)","(21.793, 21.793, 20.944, 14.382)","(26.0, 26.0, 26.0, 24.0)","(33.225, 33.225, 33.225, 27.793)","(19.409, 19.409, 19.409, 2.707)","(19.97, 19.97, 19.97, 19.97)","(23.284, 23.284, 23.284, 23.284)","(15.501, 15.501, 15.501, 7.233)"
25,s20,150,14803.243085811577,"(18.693, 18.693, 18.693, 11.939)","(12.0, 12.0, 11.0, 6.0)","(18.455, 18.455, 18.455, 18.455)","(19.0, 19.0, 19.0, 17.0)","(25.788, 25.788, 23.974, 23.495)","(25.781, 25.781, 25.781, 25.697)","(8.944, 8.944, 8.902, 3.456)","(13.724, 13.724, 13.724, 13.724)","(19.27, 19.27, 19.27, 19.27)","(10.376, 10.376, 10.352, 4.656)"
26,s20w90_75_25,150,13469.461512373853,"(18.729, 18.729, 18.729, 10.948)","(9.59, 9.59, 9.301, 1.503)","(15.679, 15.679, 14.886, 14.284)","(19.992, 19.992, 19.96, 12.125)","(22.932, 22.932, 22.154, 21.461)","(25.93, 25.93, 25.93, 24.99)","(9.097, 9.097, 9.097, 6.006)","(14.201, 14.201, 14.201, 14.201)","(19.769, 19.769, 19.769, 19.769)","(10.496, 10.496, 10.496, 4.679)"
